Scholarship Name,Deadline,Amount,Description,Location,Years,Link
Walter M. Priddy Scholarship,Unknown deadline,500.0,"Applicant must be a U.S. citizen or eligible noncitizen, be a Charlotte County, Va., resident, and be enrolled full time (at least 12 credit hours per semester). Entering freshman and transfer applicants should have a minimum combined SAT I score of 1100. Returning student applicant should have a minimum 3.0 Quality Credit Average (QCA). Applicant must submit FAFSA. Selection is based upon financial need, academic achievement, extracurricular activities, and community service.",Charlotte,"['College sophomore', 'College senior', 'College freshman', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/walter-m-priddy-scholarship
Donald J. and Constance L. McNamara Sr. Benedictine Scholarship,Unknown deadline,500.0,"Applicant must be a U.S. citizen or eligible noncitizen, be a graduate of Benedictine High School in Richmond, Va., and be enrolled full time (at least 12 credit hours per semester). Entering freshman and transfer applicants should have a minimum combined SAT I score of 1100. Returning student applicant should have a minimum 3.0 Quality Credit Average (QCA). Applicant must submit FAFSA. Selection is based upon scholarship achievement, good character, and financial need with a recommendation from the Benedictine Scholarship Committee.",No Geographic Restrictions,"['College sophomore', 'College junior', 'College senior', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/donald-j-and-constance-l-mcnamara-sr-benedictine-scholarship
Harold R. Davies Scholarship,Unknown deadline,500.0,"Preference given to applicants from the New River Valley region of Virginia. Selection is based upon academic achievement, community service, and good character. Applicant must be a U.S. citizen or eligible noncitizen and be enrolled full time (at least 12 credit hours per semester). Entering freshman and transfer applicants should have a minimum combined SAT I score of 1100. Returning student applicant should have a minimum 3.0 Quality Credit Average (QCA). Applicant must submit FAFSA.",No Geographic Restrictions,"['College senior', 'College junior', 'College sophomore', 'College freshman']",https://www.collegescholarships.org/financial-aid/scholarship/harold-r-davies-scholarship
"Camp, Dresser, and McKee Endowed Graduate Fellowship",Unknown deadline,500.0,Applicant must be an entering graduate student.,No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/camp-dresser-and-mckee-endowed-graduate-fellowship
Barry Douglas Memorial Fellowship,Unknown deadline,500.0,Applicant must have a minimum 3.0 GPA.,No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/barry-douglas-memorial-fellowship
General Electric Foundation Forgivable Loan,Unknown deadline,500.0,Applicant must be a U.S. citizen or permanent resident who has completed at least one year of graduate study and who intends to teach engineering or computer/information sciences.,No Geographic Restrictions,['Doctoral-level study'],https://www.collegescholarships.org/financial-aid/scholarship/general-electric-foundation-forgivable-loan
Graduate Assistance in Areas of National Need Doctoral Fellowship,Unknown deadline,500.0,Applicant must be a U.S. citizen with financial need who will diversify the graduate student population.,No Geographic Restrictions,['Doctoral-level study'],https://www.collegescholarships.org/financial-aid/scholarship/graduate-assistance-in-areas-of-national-need-doctoral-fellowship
Industrial and Systems Engineering Graduate Award,Unknown deadline,500.0,Applicant must be a U.S. citizen and an entering graduate student with an undergraduate degree from the University of Florida. Selection is based upon academic performance.,No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/industrial-and-systems-engineering-graduate-award
Jones-Edmunds Fellowship,Unknown deadline,500.0,Applicant must be a U.S. citizen with an interest in water resources/hydraulics. Selection is based upon academic performance.,No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/jones-edmunds-fellowship
John E. Morton Award,Unknown deadline,500.0,Applicant must be a full-time student and a U.S. citizen. Selection is based upon merit and ability. Preference is given to female applicants.,No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/john-e-morton-award
Motorola Fellowship,Unknown deadline,500.0,"Applicant must be a full-time student with an interest in telecommunications. Selection is based upon merit, ability, and financial need.",No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/motorola-fellowship
National Academy for Nuclear Training Fellowship,Unknown deadline,500.0,Description not available,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/national-academy-for-nuclear-training-fellowship
Robert C. Pittman Graduate Fellowship,Unknown deadline,500.0,Description not available,No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/robert-c-pittman-graduate-fellowship
Texas Instruments Fellowship,Unknown deadline,500.0,Applicant must have interest in the area of mixed analog and digital integrated circuit design.,No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/texas-instruments-fellowship
G. and S. Tedder Scholarship,Unknown deadline,500.0,Applicant must be an outstanding student in choral music or voice.,No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/g-and-s-tedder-scholarship
Karl and Madira Bickel Graduate Assistantship,Unknown deadline,500.0,Applicant must be willing to work 13 per week as a teaching or research assistant. Selection is based upon scholarship and need.,No Geographic Restrictions,['No Restrictions'],https://www.collegescholarships.org/financial-aid/scholarship/karl-and-madira-bickel-graduate-assistantship
Joseph L. Brechner FOI Graduate Assistantship,Unknown deadline,500.0,Applicant must be willing to work 13 hours per week as editor of the &quot;Brechner Report&quot; newsletter for the Brechner Freedom of Information Center. Preference is given to doctoral students who are interested in mass media law and who have extensive journalism experience.,No Geographic Restrictions,"['Master&#039;s-level study', 'Doctoral-level study']",https://www.collegescholarships.org/financial-aid/scholarship/joseph-l-brechner-foi-graduate-assistantship
Herbert S. Dolgoff Graduate Radio Assistantship,Unknown deadline,500.0,Applicant must be conducting research in radio news programming or management and be willing to work 13 hours per week for a radio station.,No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/herbert-s-dolgoff-graduate-radio-assistantship
Paul M. Large Scholarship,Unknown deadline,500.0,"Applicant must be a U.S. citizen or eligible noncitizen, be enrolled full time (at least 12 credit hours per semester), and demonstrate financial need, extracurricular leadership, community service, and good character. Entering freshman and transfer applicants should have a minimum combined SAT I score of 1100. Returning student applicant should have a minimum 3.0 Quality Credit Average (QCA). Applicant must submit FAFSA.",No Geographic Restrictions,"['College junior', 'College senior', 'College freshman', 'College sophomore']",https://www.collegescholarships.org/financial-aid/scholarship/paul-m-large-scholarship
Archie R. and Dorothy A. Moss Scholarship,Unknown deadline,500.0,"Applicant must be a U.S. citizen or eligible noncitizen, a graduate of a Montgomery County or Radford, Va., high school, and be enrolled full time (at least 12 credit hours per semester). Entering freshman and transfer applicants should have a minimum combined SAT I score of 1100. Returning student applicant should have a minimum 3.0 Quality Credit Average (QCA). Applicant must submit FAFSA.",Radford,"['College sophomore', 'College freshman', 'College senior', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/archie-r-and-dorothy-a-moss-scholarship
Ford Motor Company Placement Assistantship,Unknown deadline,500.0,Preference is given to minority students.,No Geographic Restrictions,"['Doctoral-level study', 'Master&#039;s-level study']",https://www.collegescholarships.org/financial-aid/scholarship/ford-motor-company-placement-assistantship
Mary and Daniel Loughran Foundation Scholarship,Unknown deadline,500.0,Selection is based upon need. Applicant must be a U.S. citizen or eligible noncitizen and be enrolled full time (at least 12 credit hours per semester). Entering freshman and transfer applicants should have a minimum combined SAT I score of 1100. Returning student applicant should have a minimum 3.0 Quality Credit Average (QCA). Applicant must submit FAFSA.,No Geographic Restrictions,"['College senior', 'College sophomore', 'College freshman', 'College junior']",https://www.collegescholarships.org/financial-aid/scholarship/mary-and-daniel-loughran-foundation-scholarship
